SSN	Username	Pw encrypted
1001	アカショウビン	1WSD/9K5myNEXRKJ7dm46g
1003	オオルリ	6v5i+EmupIi/DqtD3WuNpg
1005	サンコウチョウ	jNMxXgQcPxamWqYnrco43g
1007	クロツグミ	WI/nWBXh+0CK1Ix2fglEPg
1009	シジュウカラ	gUyfGA3OLVAeRKQPJHflQQ
1011	コマドリ	UUlzoi4zt/oVVJLtGgkQSA
1013	エゾライチョウ	KXsCUsPMHQmiIydtv+Pv6Q
1014	ライチョウ	7Jf8zxQtRCeuc1Xrt4y3rw
1	ウズラ	1XKeOEDtAbMbpcSztDSKuw
2	ヒシクイ	2qDysdmGHXIeWT4D/0wIFA
3	マガン	ju9rDGQ2h2VU4zqnRRqSvA
4	シジュウカラガン	MsIrXAFEx5jl15xPSkzVIg
5	コクガン	Au311mkPRNgCMg9ccUvxoQ
6	コハクチョウ	Bs5/pR2lIGs0hQZmQlEmIA
7	オオハクチョウ	VoHPjLzgSFT43Xdj4AeZ/g
8	ヨシガモ	FQwz7nq0FDmRZoZlQDcL8g
9	ヒドリガモ	J+X3whbOg8LtIdfs2GR64A
10	アメリカヒドリ	u9LrNfWLUd9o3jv3PQ8Qqg
11	マガモ	IWamBCC1Hbv3e05ucYRS7g
12	ハシビロガモ	xJaRWJJMRtlQ5RejdDDQiQ
13	オナガガモ	pmAaPRviIzODFAyB6bAqfQ
14	コガモ	pbwpspnrM/48rw2VK4q9jw
15	シノリガモ	LKKW59WRKu23JmMxLLr6Rg
16	クロガモ	CUfDIKYDv0K2s3R/RXVBlw
17	コオリガモ	dZmCXwONVBIiIfjFKYRjxQ
18	ホオジロガモ	GryqZQzEv/B8FG3B3PNunw
19	ウミアイサ	P8XeY12RVrOgL7O3BkROOA
20	カイツブリ	PuJ5No+LlmaPxxYFKZqrUw
21	アカエリカイツブリ	t5qgKPN91V8zboAEFSsrEg
22	カンムリカイツブリ	OYDULDzrn+YEbxwtQt+xtw
23	ハジロカイツブリ	/SsItb63uEZx4JqzN0RHNA
24	カラスバト	TdL4UmE4cHZdbRoZnNTxXg
25	シラコバト	aUUtHNOw3rRjYTin6D5J7A
26	キンバト	ZJofipVTjLDoxgpW4KYm2A
27	ズアカアオバト	VR9yegGUIjXy90wkOq0jHQ
28	シロエリオオハム	KPqGgWGEsq9pUDcC1RrLyg
29	オオミズナギドリ	GrtRZh92An4RSWmozBlGjw
30	コウノトリ	PaZXz0sG7gh8fKWrNfGS0A
31	ヒメウ	0Zf9hVeznnmCQB61rggWJw
32	カワウ	Is2GRelRe1a4+vwM2rbU+A
33	ウミウ	O19FnxecCkda6lfi+6GDPQ
34	サンカノゴイ	L3D2RTZGcsnPolChM9AARA
35	ミゾゴイ	6LRRyucZKBs7usCK3rqcXw
36	ササゴイ	JiwLr0nrcHPbWbuzyFYyhg
37	コサギ	SJeNClY8W7dlNZrEiaD0Qg
38	クロサギ	DdmGFUei2VDlumlSOCTycA
39	トキ	K/Y/W+sdql/DVKlUz5tf/A
40	クロツラヘラサギ	nz+79ZRFFNvPES0djR1APw
41	マナヅル	WP1R6jPFmiFO7NFUTHyJOA
42	タンチョウ	6uN9lYMy/R9wbDt77m7qKQ
43	ナベヅル	QWRUjP1QpIC8VTXPDZoIkg
44	シマクイナ	7z+6bNhN349/jrh12U0TbQ
45	ヤンバルクイナ	Y0NM7uQ/I4jK7tvjHKPqTg
46	クイナ	qy7e/Th3jLjEy3Sk7ITh+Q
47	シロハラクイナ	8LJgubNWj2mdzmW3rvPMYA
48	ヒクイナ	+WXh8f8Ko8e6wZGGlx8IoQ
49	バン	mFn/f5KChUv+djXfmh1vrw
50	オオバン	AYZKVfMKnDpdvIX0GbhCwg
51	カンムリカッコウ	jFDBrdYMiHOVB8P7NfUujA
52	オニカッコウ	43cu0T3Qmd5lHp0hfDE9kA
53	オオジュウイチ	IdUVyQyjiuShMiGVao8iMg
54	セグロカッコウ	tX3qjy4evNeUEruEgl1Oew
55	ハリオアマツバメ	TOxGfmSXTwYVKaR+H4drXA
56	ヒメアマツバメ	NVTc2ZDEe5l3tR9tyoBm4g
57	タゲリ	u0Q7DiUsCceP/zKA3tpV+Q
58	ケリ	a1X4zfjTFYhENZFQ0lypog
59	ムナグロ	h76Iv1MMGm2PTM34ZsVfnw
60	イカルチドリ	+TEqQQipn2LpD9MLcg5sPw
61	シロチドリ	tITcgYcc4+pqvb28gb14lw
62	メダイチドリ	bZCSgth0mkNttW5tQrDc/A
63	ミヤコドリ	P0sBVkzi/iRubnHjZKyxDQ
64	ヤマシギ	hEyK3vuRhvIUUP9HziDdtw
65	アマミヤマシギ	f3bv200qHTM1Zzcnq3oazw
66	オオジシギ	l+4SkapUMkfDrgJh5cOe1w
67	タシギ	Q/gzc4AoiobN3Z/v4q8xxA
68	オオハシシギ	DfPS2q2XfkV3oupYMEsyLQ
69	オオソリハシシギ	3W8G2JPKQSE6HW/ft6zLog
70	チュウシャクシギ	CyS1eqrunFYeSkOpyB2BAw
71	タマシギ	Nchi+4PWPaAzqWOVCtNxWQ
72	ミフウズラ	2bP8LJwYAIzCAG4fDcjL2Q
73	ダイシャクシギ	fQqKk8X6HLF8yPGMJhRAuw
74	ホウロクシギ	59KowklvQYGE8t/x8Mv4pQ
75	ツルシギ	ipHBwS++hC0MT5uzG+D6uQ
